motif_smiles,total_occurrences,num_drugs_containing,percent_drugs,molecular_weight,num_atoms
c1ccccc1,282,202,27.08,78.11,6
CO,271,172,23.06,32.04,2
C=O,214,149,19.97,30.03,2
CC,195,146,19.57,30.07,2
CCC=O,175,55,7.37,58.08,4
CCC,134,113,15.15,44.1,3
CC=O,132,83,11.13,44.05,3
CC(C)CCC=O,71,33,4.42,100.16,7
Oc1ccccc1,70,48,6.43,94.11,7
O=CCCCC(=O)O,64,17,2.28,116.12,8
CC(C)C,59,42,5.63,58.12,4
O=CCCO,51,26,3.49,74.08,5
C1CCNC1,50,37,4.96,71.12,5
CN,47,45,6.03,31.06,2
CCO,44,38,5.09,46.07,3
O=CO,41,41,5.5,46.02,3
CCCCC=O,39,21,2.82,86.13,6
N=C(N)N,38,16,2.14,59.07,4
NC(=O)CCCC=O,37,17,2.28,115.13,8
CNC,36,35,4.69,45.09,3
CCCC,34,31,4.16,58.12,4
NC(=O)CCC=O,33,18,2.41,101.1,7
c1ccc2[nH]ccc2c1,32,29,3.89,117.15,9
c1c[nH]cn1,32,24,3.22,68.08,5
CC(=O)O,31,26,3.49,60.05,4
CC(C)CC=O,31,14,1.88,86.13,6
CC(O)CC=O,30,15,2.01,88.11,6
C1CCNCC1,29,27,3.62,85.15,6
NCCCCCC=O,28,15,2.01,115.18,8
C1CCOC1,27,9,1.21,72.11,5
c1ccncc1,26,25,3.35,79.1,6
Clc1ccccc1,25,25,3.35,112.56,7
CCCC=O,25,21,2.82,72.11,5
Fc1ccccc1,25,23,3.08,96.1,7
O=CCCC(=O)O,25,14,1.88,102.09,7
CCC(C)CC=O,24,15,2.01,100.16,7
O=CCCS,24,4,0.54,90.15,5
C1CC1,23,23,3.08,42.08,3
C1CNCCN1,23,23,3.08,86.14,6
FC(F)F,21,20,2.68,70.01,4
CC(C)O,20,20,2.68,60.1,4
CC(N)=O,20,14,1.88,59.07,4
NC=O,19,18,2.41,45.04,3
O=P([O-])(O)S,19,1,0.13,113.05,5
CCC(=O)O,18,13,1.74,74.08,5
Cc1ccccc1,17,16,2.14,92.14,7
c1ccc2ccccc2c1,16,16,2.14,128.17,10
O=CCO,13,13,1.74,60.05,4
C1CCCCC1,13,13,1.74,84.16,6
CS,13,10,1.34,48.11,2
CCC(N)=O,13,11,1.47,73.09,5
CC(=O)[O-],12,5,0.67,59.04,4
c1ccsc1,12,10,1.34,84.14,5
CC(N)C=O,12,12,1.61,73.09,5
C[SH](=O)=O,11,9,1.21,80.11,4
CCCl,11,6,0.8,64.52,3
c1cscn1,11,8,1.07,85.13,5
CC(O)CO,10,4,0.54,76.09,5
c1cncnc1,10,8,1.07,80.09,6
O=S(=O)(O)O,10,5,0.67,98.08,5
CCCCN,10,6,0.8,73.14,5
OC1COCC1O,9,9,1.21,104.1,7
NCC=O,9,9,1.21,59.07,4
NC(N)=NCCCCC=O,9,9,1.21,143.19,10
Clc1cccc(Cl)c1,9,8,1.07,147.0,8
OC1CCOCC1O,9,8,1.07,118.13,8
O=C1CCCN1,9,9,1.21,85.11,6
CCC(C)O,8,8,1.07,74.12,5
N#Cc1ccccc1,8,7,0.94,103.12,8
O=C[O-],8,6,0.8,45.02,3
O=[N+]([O-])c1ccccc1,8,8,1.07,123.11,9
CC1=C(C=O)CC(C=O)=C(C)N1,7,7,0.94,165.19,12
Cc1cccc(C)c1,7,7,0.94,106.17,8
Fc1cccc(F)c1,7,7,0.94,114.09,8
