drug_name,num_motifs,motifs
levocarnitine,2,C[N+](C)C | CC(O)CC(=O)O
aminolevulinic.acid,1,NCC(=O)CCC(=O)O
calcium.folinate,4,Nc1nc(=O)c2c([nH]1)NCCN2C=O | c1ccccc1 | C=O | O=C(O)CCCC(=O)O
epoprostenol,3,CCCCCC(C)O | CC1C(O)CC2OCCC21 | CCCCC(=O)O
adenosine,2,OC1COCC1O | CO
alprostadil,3,CCCCCC(C)O | CC1CC(=O)CC1O | CCCCCCC(=O)O
betaine,2,C[N+](C)C | CC(=O)[O-]
bupropion,3,CCC=O | Clc1ccccc1 | CC(C)C
estradiol,1,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
mannitol,1,OCC(O)C(O)C(O)C(O)CO
acetylcysteine,2,CC=O | O=C(O)CCS
cytarabine,2,OC1COCC1O | CO
mesna,1,O=S(=O)(O)CCS
estrone,1,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O
glutamine,1,NC(=O)CCC(N)C(=O)O
sodium.bicarbonate,1,O=C(O)O
nicotine,2,CN1CCCC1 | c1ccncc1
sodium.phosphate,1,O=P([O-])(O)O
quinidine,4,CO | c1ccc2ncccc2c1 | CO | C=CC1CN2CCC1CC2
sapropterin,2,CC(O)CO | Nc1nc(=O)c2c([nH]1)NCCN2
telbivudine,2,OC1CCOC1 | CO
naproxen,3,CCC(=O)[O-] | c1ccc2ccccc2c1 | CO
cladribine,2,OC1CCOC1 | CO
doxorubicin,4,CC1OCCC([NH3+])C1O | O=C1c2ccccc2C(=O)c2c(O)c3c(c(O)c21)CC(O)CC3O | CO | O=CCO
epirubicin,4,CC1OCCC([NH3+])C1O | O=C1c2ccccc2C(=O)c2c(O)c3c(c(O)c21)CC(O)CC3O | CO | O=CCO
fampridine,1,Nc1ccncc1
phenytoin,3,c1ccccc1 | O=C1CNC(=O)N1 | c1ccccc1
azacitidine,2,OC1COCC1O | CO
abacavir,3,C1CC1 | C1=CCCC1 | CO
amphotericin.B,3,CC1C=CC=CC=CC=CC=CC=CC=CCCC2CC(O)CC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)O2 | O=CO | CC1OCC(O)C(N)C1O
acebutolol,5,CCCC=O | c1ccccc1 | CC(C)O | CCC | CC=O
paracetamol,2,CC=O | Oc1ccccc1
aciclovir,2,CO | CCO
albendazole,4,CCC | c1ccc2[nH]cnc2c1 | C=O | CO
salbutamol,4,CC(C)C | CCO | Oc1ccccc1 | CO
alendronic.acid,1,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
alfuzosin,7,CN | CCC | C=O | C1CCOC1 | Nc1ncnc2ccccc12 | CO | CO
allopurinol,1,O=c1ncnc2[nH][nH]cc1-2
alosetron,2,Cc1cnc[nH]1 | Cn1c2c(c3ccccc31)C(=O)NCC2
alprazolam,1,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
amantadine,1,NC12CC3CC(CC(C3)C1)C2
theophylline,1,Cn1c(=O)c2[nH]cnc2n(C)c1=O
amiodarone,7,CCCC | c1ccc2occc2c1 | C=O | Ic1cccc(I)c1 | CC | CC | CC
amisulpride,5,CC | C1CCNC1 | C=O | CCS(=O)(=O)c1ccccc1N | CO
amlexanox,3,CCC | Nc1ccc2c(=O)c3ccccc3oc2n1 | O=CO
amlodipine,5,CC | CC1=C(C=O)CC(C=O)=C(C)N1 | Clc1ccccc1 | CO | CCN
amoxicillin,4,CC1(C)CN2C(=O)CC2S1 | NCC=O | Oc1ccccc1 | O=CO
amprenavir,6,CC(C)C | CCC(C)O | c1ccccc1 | C=O | C1CCOC1 | Nc1ccc([SH](=O)=O)cc1
amsacrine,4,CO | c1ccccc1 | C[SH](=O)=O | c1ccc2nc3ccccc3cc2c1
anagrelide,1,O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1
anastrozole,3,CC(C)C#N | c1ccccc1 | CC(C)C#N
apomorphine,1,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
apraclonidine,2,NC1=NCCN1 | Nc1cc(Cl)cc(Cl)c1
argatroban,4,CC1CCNCC1 | O=CO | NC(N)=NCCCCC=O | CC1CNc2c(cccc2[SH](=O)=O)C1
atenolol,4,CCC | CC(C)O | c1ccccc1 | CC(N)=O
atorvastatin,6,CCC | CCC(O)CC(O)CC(=O)O | Fc1ccccc1 | c1ccccc1 | C=O | c1ccccc1
azathioprine,2,Cn1cnc([N+](=O)[O-])c1 | c1ncc2[nH]cnc2n1
azelaic.acid,1,O=C(O)CCCCCCCC(=O)O
azelastine,2,CN1CCCCCC1 | Clc1ccccc1
azithromycin,6,CC | CC1CC(C)C(=O)OCC(C)(O)C(O)C(C)N(C)CC(C)CC(C)(O)C1 | CC1CCOC(C)C1O | CO | CC1CCC(O)CO1 | CNC
aztreonam,3,CC1CC(=O)N1S(=O)(=O)O | Nc1nc(C(C=O)=NO)cs1 | CC(C)C(=O)O
baclofen,2,Clc1ccccc1 | NCCCC(=O)O
beclometasone,2,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1O | O=CCO
benazepril,4,CC | CCCC=O | c1ccccc1 | O=C(O)CN1C(=O)CCCc2ccccc21
bepridil,5,CC(C)C | CCC | c1ccccc1 | c1ccccc1 | C1CCNC1
betahistine,3,CN | CC | c1ccncc1
dexamethasone,3,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1O | CC=O | O=P(O)(O)O
betaxolol,5,CCC | CC(C)O | c1ccccc1 | CC | C1CC1
bicalutamide,3,CC(O)(C=O)CS(=O)(=O)c1ccc(F)cc1 | N#Cc1ccccc1 | FC(F)F
bisoprolol,5,CCC | CC(C)O | c1ccccc1 | CC | CCC
brimonidine,2,NC1=NCCN1 | Brc1cccc2nccnc12
bromazepam,1,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
bromocriptine,5,CC(C)C | O=C1CN2C(=O)COC2(O)C2CCCN12 | CCC | C=O | CN1CCC=C2c3cccc4[nH]c(Br)c(c34)CC21
budesonide,3,CCC | CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC1OCOC12 | O=CCO
bumetanide,4,CCCC | NS(=O)(=O)c1ccccc1 | O=CO | c1ccccc1
bupivacaine,4,CCCC | C1CCNCC1 | C=O | Cc1cccc(C)c1
levobupivacaine,4,CCCC | C1CCNCC1 | C=O | Cc1cccc(C)c1
buprenorphine,4,CC(O)C(C)(C)C | Oc1ccc2c3c1OC1C4CCC5(CC4)C(C2)NCCC315 | C1CC1 | CO
buspirone,4,O=C1CC2(CCCC2)CC(=O)N1 | CCCC | C1CNCCN1 | c1cncnc1
busulfan,3,CS(=O)(=O)O | CCCC | CS(=O)(=O)O
butorphanol,2,Oc1ccc2c(c1)C13CCCCC1(O)C(C2)NCC3 | C1CCC1
cabergoline,7,CC | C=O | CCC | CNC | C=O | c1cc2c3c(c[nH]c3c1)CC1NCCCC21 | C=CC
caffeine,1,Cn1c(=O)c2c(ncn2C)n(C)c1=O
verapamil,9,CCCC(C#N)C(C)C | CN | CC | c1ccccc1 | CO | CO | c1ccccc1 | CO | CO
calcitriol,4,CCCCCC(C)(C)O | CC12CCCCC1CCC2 | CC | C=C1CCC(O)CC1O
candesartan,8,CC | c1ccccc1 | c1ccccc1 | c1nn[nH]n1 | C=O | CC | C=O | C1CCCCC1
capsaicin,4,CC(C)C | CCCCCC=O | Oc1ccccc1 | CO
carbamazepine,2,C1=Cc2ccccc2Nc2ccccc21 | NC=O
