motif_smiles,num_drugs_matched,mean_se_frequency,num_active_se,top5_side_effects
c1ccccc1,202,0.184,909,nausea(3.07); headache(2.84); diarrhoea(2.72); dizziness(2.61); asthenia(2.37)
CO,172,0.183,886,nausea(3.49); headache(3.01); diarrhoea(2.68); vomiting(2.60); dizziness(2.45)
C=O,149,0.193,804,nausea(3.17); headache(2.92); diarrhoea(2.72); dizziness(2.40); vomiting(2.38)
CC,146,0.201,888,nausea(3.04); headache(2.68); dizziness(2.54); asthenia(2.39); diarrhoea(2.29)
CCC,113,0.226,837,nausea(3.23); headache(2.96); dizziness(2.80); asthenia(2.71); diarrhoea(2.70)
CC=O,83,0.202,618,nausea(3.12); headache(2.77); diarrhoea(2.64); vomiting(2.14); asthenia(2.11)
CCC=O,55,0.272,498,headache(2.84); nausea(2.67); asthenia(2.38); diarrhoea(2.18); vomiting(2.07)
Oc1ccccc1,48,0.306,436,nausea(3.15); headache(2.94); diarrhoea(2.83); vomiting(2.35); dizziness(1.98)
CN,45,0.295,721,headache(3.33); nausea(3.22); dizziness(2.76); diarrhoea(2.60); vomiting(2.40)
CC(C)C,42,0.312,552,nausea(3.50); headache(3.02); dizziness(3.02); asthenia(2.83); diarrhoea(2.74)
O=CO,41,0.269,492,headache(2.95); nausea(2.95); diarrhoea(2.61); dermatitis(2.59); rash(2.51)
CCO,38,0.346,530,headache(3.37); diarrhoea(3.37); nausea(3.34); dizziness(2.71); vomiting(2.55)
C1CCNC1,37,0.29,458,nausea(3.22); headache(3.16); diarrhoea(2.51); asthenia(2.27); vomiting(2.24)
CNC,35,0.42,801,headache(3.83); nausea(3.54); dizziness(3.40); diarrhoea(3.31); vomiting(3.23)
CC(C)CCC=O,33,0.392,320,nausea(3.30); headache(3.06); vomiting(2.55); diarrhoea(2.45); asthenia(2.24)
CCCC,31,0.364,359,nausea(3.26); headache(3.10); diarrhoea(3.00); dizziness(2.84); vomiting(2.71)
c1ccc2[nH]ccc2c1,29,0.376,507,headache(3.10); nausea(2.83); asthenia(2.83); diarrhoea(2.72); vomiting(2.41)
C1CCNCC1,27,0.434,638,dizziness(3.56); nausea(3.44); headache(2.96); asthenia(2.93); diarrhoea(2.85)
CC(=O)O,26,0.295,541,headache(2.69); diarrhoea(2.27); dermatitis(2.19); rash(2.19); nausea(2.00)
O=CCCO,26,0.42,290,nausea(3.08); headache(2.85); diarrhoea(2.19); vomiting(2.19); asthenia(2.15)
Clc1ccccc1,25,0.361,418,nausea(3.08); headache(2.64); asthenia(2.56); diarrhoea(2.52); dizziness(2.36)
c1ccncc1,25,0.405,436,headache(3.32); nausea(3.04); diarrhoea(2.40); vomiting(2.24); dizziness(2.24)
c1c[nH]cn1,24,0.44,282,headache(3.00); nausea(2.83); diarrhoea(2.54); vomiting(2.33); asthenia(2.04)
C1CC1,23,0.399,253,nausea(3.57); headache(3.52); dizziness(3.00); diarrhoea(2.57); dermatitis(2.52)
Fc1ccccc1,23,0.283,509,headache(3.22); dizziness(2.57); nausea(2.43); diarrhoea(2.26); asthenia(2.22)
C1CNCCN1,23,0.406,476,nausea(3.57); dizziness(3.43); diarrhoea(2.83); headache(2.74); asthenia(2.70)
CCCC=O,21,0.386,207,nausea(3.00); headache(2.86); vomiting(2.48); diarrhoea(2.19); asthenia(2.19)
CCCCC=O,21,0.45,244,headache(3.29); nausea(2.62); diarrhoea(2.48); vomiting(2.29); asthenia(2.05)
CC(C)O,20,0.45,272,dizziness(3.60); asthenia(3.40); fatigue(3.05); nausea(2.90); headache(2.65)
FC(F)F,20,0.466,597,diarrhoea(3.55); nausea(3.40); headache(3.20); dizziness(2.90); pruritus(2.70)
NC=O,18,0.495,488,asthenia(2.83); diarrhoea(2.83); dizziness(2.78); nausea(2.67); fatigue(2.44)
NC(=O)CCC=O,18,0.538,259,nausea(3.56); headache(3.17); diarrhoea(3.06); vomiting(2.50); asthenia(2.28)
NC(=O)CCCC=O,17,0.591,219,nausea(3.59); headache(3.12); diarrhoea(2.94); vomiting(2.65); asthenia(2.18)
O=CCCCC(=O)O,17,0.556,199,nausea(3.29); diarrhoea(2.88); headache(2.82); vomiting(2.59); hypertension(1.94)
c1ccc2ccccc2c1,16,0.389,311,headache(2.25); asthenia(2.00); diarrhoea(2.00); nausea(1.94); pain(1.88)
Cc1ccccc1,16,0.502,545,headache(3.25); dizziness(3.12); nausea(3.00); asthenia(2.81); cough(2.50)
N=C(N)N,16,0.574,195,headache(3.56); nausea(3.50); diarrhoea(3.06); vomiting(3.00); hypertension(2.06)
NCCCCCC=O,15,0.538,224,nausea(3.40); headache(2.87); diarrhoea(2.73); vomiting(2.40); pruritus(2.27)
CC(O)CC=O,15,0.565,185,nausea(3.20); diarrhoea(2.73); headache(2.67); vomiting(2.13); asthenia(1.87)
CCC(C)CC=O,15,0.61,189,nausea(3.73); headache(3.20); diarrhoea(2.80); vomiting(2.40); cough(2.00)
CC(N)=O,14,0.586,190,nausea(3.50); diarrhoea(2.93); headache(2.86); vomiting(2.50); asthenia(2.14)
CC(C)CC=O,14,0.632,176,nausea(3.36); diarrhoea(3.00); headache(3.00); vomiting(2.57); arthralgia(2.07)
O=CCCC(=O)O,14,0.562,227,nausea(3.36); vomiting(2.86); diarrhoea(2.57); headache(2.43); pruritus(1.93)
O=CCO,13,0.606,201,headache(3.08); vomiting(2.38); nausea(2.31); dyspepsia(2.08); sinusitis(1.92)
C1CCCCC1,13,0.4,436,dizziness(2.62); diarrhoea(2.54); nausea(2.54); pruritus(2.08); headache(1.92)
CCC(=O)O,13,0.696,137,headache(3.00); nausea(2.77); diarrhoea(2.62); cough(2.54); vomiting(2.46)
CC(N)C=O,12,0.694,158,headache(3.67); diarrhoea(3.42); nausea(2.92); vomiting(2.67); abdominal pain(2.33)
CCC(N)=O,11,0.68,136,nausea(2.91); diarrhoea(2.45); headache(2.36); pain(2.09); upper respiratory tract infection(2.09)
CS,10,0.517,378,nausea(3.80); vomiting(3.60); headache(3.50); pruritus(2.80); diarrhoea(2.40)
c1ccsc1,10,0.556,268,nausea(2.80); diarrhoea(2.60); vomiting(2.60); constipation(2.40); rash(2.30)
OC1COCC1O,9,0.846,383,headache(4.78); nausea(4.67); dizziness(3.67); dyspnoea(3.67); vomiting(3.67)
C1CCOC1,9,0.831,147,nausea(3.89); diarrhoea(3.44); asthenia(3.33); headache(3.33); gastrointestinal pain(3.11)
NCC=O,9,0.784,125,diarrhoea(3.67); nausea(3.67); headache(3.56); abdominal pain(2.44); gastrointestinal pain(2.44)
C[SH](=O)=O,9,0.542,262,nausea(3.22); dizziness(2.89); headache(2.78); dermatitis(2.78); rash(2.78)
NC(N)=NCCCCC=O,9,0.884,205,headache(4.00); pain(3.33); constipation(3.22); nausea(3.22); menopausal symptoms(2.78)
O=C1CCCN1,9,0.836,223,headache(4.00); nausea(3.22); mood swings(3.00); affect lability(3.00); asthenia(3.00)
CCC(C)O,8,0.704,247,nausea(4.00); headache(3.88); dermatitis(3.25); rash(3.25); diarrhoea(3.00)
c1cncnc1,8,0.817,402,headache(3.75); dizziness(3.12); nasopharyngitis(2.75); vomiting(2.50); abdominal pain(2.50)
Clc1cccc(Cl)c1,8,0.688,240,nausea(3.62); gastrointestinal pain(3.25); abdominal pain(3.25); asthenia(3.25); vomiting(3.12)
O=[N+]([O-])c1ccccc1,8,0.706,127,nausea(3.50); headache(2.75); dermatitis(2.38); rash(2.38); dizziness(2.00)
OC1CCOCC1O,8,0.656,98,nausea(3.62); vomiting(3.00); headache(2.38); diarrhoea(1.75); body temperature increased(1.62)
c1cscn1,8,0.852,172,headache(3.50); asthenia(3.50); nausea(3.50); vomiting(3.38); body temperature increased(3.25)
CC1=C(C=O)CC(C=O)=C(C)N1,7,0.864,83,nausea(4.14); headache(3.14); dermatitis(2.71); rash(2.71); flushing(2.43)
N#Cc1ccccc1,7,0.933,154,headache(3.57); nausea(3.57); fatigue(3.14); dermatitis(3.00); dizziness(3.00)
Cc1cccc(C)c1,7,0.932,124,nausea(4.71); vomiting(3.71); constipation(3.29); dizziness(2.86); body temperature increased(2.29)
Fc1cccc(F)c1,7,0.819,218,headache(4.43); nausea(4.43); rash(4.14); dermatitis(4.14); diarrhoea(3.86)
C1COCCN1,7,0.918,175,nausea(3.71); dizziness(3.29); vomiting(3.14); insomnia(3.00); headache(3.00)
CCCCC,7,0.949,186,nausea(3.00); vomiting(3.00); abdominal pain(3.00); gastrointestinal pain(3.00); infection(2.71)
CCCCC(=O)O,6,1.244,125,headache(4.67); diarrhoea(4.00); nausea(4.00); vomiting(3.83); back pain(3.50)
OC1CCOC1,6,1.291,207,headache(4.83); nausea(4.83); vomiting(4.67); body temperature increased(4.67); abdominal pain(4.50)
CCCl,6,0.784,156,thrombocytopenia(3.00); diarrhoea(2.83); nausea(2.50); pruritus(2.50); dermatitis(2.50)
CCCC(=O)O,6,0.873,208,dermatitis(3.33); rash(3.33); diarrhoea(3.33); dizziness(3.00); nausea(2.83)
OC1COCC(O)C1O,6,0.985,65,nausea(4.00); urinary tract infection(2.67); constipation(2.67); dermatitis(2.33); rash(2.33)
O=C[O-],6,0.777,115,nausea(3.17); dermatitis(2.67); rash(2.67); body temperature increased(2.50); diarrhoea(2.50)
CN1CCNCC1,6,0.955,353,rash(4.50); dermatitis(4.50); vomiting(4.33); nausea(4.33); diarrhoea(4.17)
CCCCCC,6,0.849,139,headache(3.83); musculoskeletal discomfort(2.67); dermatitis(2.50); rash(2.50); nausea(2.17)
CCCO,6,1.182,95,diarrhoea(4.33); headache(3.50); dizziness(3.33); nausea(3.00); asthenia(2.83)
CCCCN,6,0.978,108,headache(3.17); diarrhoea(3.17); nausea(3.00); dizziness(2.83); cholelithiasis(2.50)
CC(=O)[O-],5,0.689,178,nausea(3.60); headache(3.00); vomiting(2.20); dizziness(2.20); diarrhoea(2.00)
CCN,5,0.873,374,nausea(4.40); abdominal pain(4.20); asthenia(4.20); gastrointestinal pain(4.20); headache(3.60)
O=P(O)(O)O,5,1.205,158,headache(4.40); nausea(4.00); diarrhoea(4.00); rash(3.20); dermatitis(3.20)
c1nn[nH]n1,5,1.085,137,hypotension(3.80); hyperkalaemia(3.80); dizziness(3.60); cough(3.40); fatigue(3.20)
Cc1cccnc1,5,0.716,81,nausea(3.00); diarrhoea(2.40); headache(2.40); asthenia(2.20); dysgeusia(1.80)
Cc1ccno1,5,0.756,128,rash(3.80); dermatitis(3.80); diarrhoea(3.40); nausea(3.40); dyspepsia(2.60)
CC(C)C=O,5,0.952,92,nausea(3.00); dermatitis(2.80); rash(2.80); headache(2.40); dyspepsia(2.20)
CC(F)(F)F,5,1.241,34,dizziness(3.40); headache(3.20); nausea(2.40); asthenia(2.40); diarrhoea(2.40)
c1ccoc1,5,1.103,97,epistaxis(3.00); cough(2.60); headache(2.60); back pain(2.60); nausea(2.60)
O=[SH](=O)c1ccccc1,5,1.061,89,dizziness(4.00); nausea(3.20); headache(2.80); flushing(2.40); sinusitis(2.40)
Ic1cc(I)cc(I)c1,5,0.915,54,headache(3.40); pain(3.20); nausea(2.40); neck pain(1.80); vertigo(1.60)
CS(=O)c1nc2ccccc2[nH]1,5,0.804,150,diarrhoea(4.20); nausea(4.00); dysgeusia(3.40); vomiting(3.20); flatulence(3.20)
O=S(=O)(O)O,5,0.939,88,nausea(3.20); body temperature increased(2.40); headache(2.40); abdominal pain(2.20); gastrointestinal pain(2.20)
c1ccc2ncncc2c1,5,1.352,158,decreased appetite(4.60); nausea(4.40); dermatitis(4.00); dry skin(4.00); rash(4.00)
